TV Id,Regulation Start Date,TVS Id,Regulation Id,Protected Location Id,Protected Location (4),Elemental-Integrado,Protected Location Type,ERD-ARR,Regulation Reason Name
GCCCLPA,10/26/2019,GCCCFMP,GCLPA26E,GCCCIGC,GCCC,elemental,Airspace,ERD,W - Weather
GCCCINB,10/26/2019,GCCCFMP,GCINB26A,GCCCINB,GCCC,elemental,Airspace,ERD,W - Weather
GCCCRNE,10/26/2019,GCCCFMP,GCRNE26A,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCLPF,10/26/2019,GCCCFMP,GCLPAF26,GCCCIGC,GCCC,elemental,Airspace,ERD,W - Weather
LEBLARR,10/26/2019,LEBLTMA,LEBLA26M,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LECBMNI,10/26/2019,LECBFMPE,LEMNI26M,LECBMNI,LECB,integrado,Airspace,ERD,S - ATC Staffing
LECBCCC,10/26/2019,LECBFMPE,LECCC26A,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBCCC,10/26/2019,LECBFMPE,LECCC26L,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBBKE,10/26/2019,LECBFMPE,LEBKE26L,LECBBKE,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLVL,10/26/2019,LECBFMPW,LELVL26M,LECBLVL,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVU,10/26/2019,LECBFMPW,LELVU26E,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVU,10/26/2019,LECBFMPW,LELVU26A,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBGOI,10/26/2019,LECBFMPW,LEGOI26,LECBGOI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBPPI,10/26/2019,LECBFMPW,LEPPI26,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
FL1TDU,10/26/2019,LECMFMP,FL1TDU26,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,10/26/2019,LECMFMP,PAU26M,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,10/26/2019,LECMFMP,LEMDA26,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
RR3ZMI,10/26/2019,LECMFMP,RR3ZMI26,LECMZMI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,10/26/2019,LECMFMP,BLI26E,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMASI,10/26/2019,LECMFMP,ASI26E,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMSAN,10/26/2019,LECMFMP,SAN26,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,10/26/2019,LECMFMP,PAU26,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL4TLU,10/26/2019,LECMFMP,F4TLU26A,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,10/26/2019,LECMFMP,ZGZ26,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAL,10/26/2019,LECMFMP,PAL26A,LECMPAL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASU,10/26/2019,LECMFMP,ASU26A,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,10/26/2019,LECMFMP,BLI26,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,10/26/2019,LECMFMP,BLI26N,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL1SAO,10/26/2019,LECMFMP1,FL1SAO26,LECMSAO,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAO,10/26/2019,LECMFMP1,SAO26A,LECMSAO,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAO,10/26/2019,LECMFMP1,SAO26,LECMSAO,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECSMA4C,10/26/2019,LECSFMP,MA4C26,LECSMA4,LECS,elemental,Airspace,ERD,C - ATC Capacity
